transaction_id,transaction_date,customer_id,product_id,store_id,quantity,unit_price,discount_percent,revenue,cost,profit,payment_method
54,2022-01-01,315,1,2,1,1013.23,0.0,1013.23,559.81,453.42,Credit Card
55,2022-01-01,365,18,5,1,150.25,10.0,150.25,84.34,65.91,Credit Card
56,2022-01-01,924,21,7,1,289.21,0.0,289.21,131.47,157.74,Debit Card
57,2022-01-01,1096,1,1,2,962.57,5.0,1925.14,1119.62,805.52,Debit Card
58,2022-01-01,149,12,5,3,81.25,0.0,243.75,101.28,142.47,Debit Card
59,2022-01-01,577,25,1,3,35.43,0.0,106.29,57.03,49.26,Debit Card
60,2022-01-01,1132,26,3,2,23.57,5.0,47.14,25.84,21.3,Credit Card
61,2022-01-01,1817,26,1,3,23.57,5.0,70.71,38.76,31.95,Debit Card
62,2022-01-01,1137,5,7,1,719.59,0.0,719.59,397.92,321.67,Debit Card
63,2022-01-01,1940,3,6,1,1029.82,10.0,1029.82,706.76,323.06,Credit Card
64,2022-01-01,1855,21,3,3,289.21,0.0,867.63,394.41,473.22,Credit Card
65,2022-01-01,1710,9,1,1,59.68,0.0,59.68,27.39,32.29,Cash
66,2022-01-01,1910,18,5,1,158.6,5.0,158.6,84.34,74.26,Debit Card
67,2022-01-01,514,4,6,1,1286.72,5.0,1286.72,756.72,530.0,Credit Card
68,2022-01-01,1375,21,2,1,289.21,0.0,289.21,131.47,157.74,Digital Wallet
69,2022-01-01,651,16,5,1,388.88,5.0,388.88,234.55,154.33,Debit Card
70,2022-01-01,313,19,7,1,302.43,10.0,302.43,172.0,130.43,Credit Card
71,2022-01-01,642,8,7,2,123.28,10.0,246.56,124.52,122.04,Credit Card
72,2022-01-01,737,5,8,2,719.59,0.0,1439.18,795.84,643.34,Debit Card
73,2022-01-01,735,25,3,1,33.66,5.0,33.66,19.01,14.65,Debit Card
74,2022-01-01,168,27,4,1,18.61,10.0,18.61,12.28,6.33,Credit Card
75,2022-01-01,1816,21,1,1,289.21,0.0,289.21,131.47,157.74,Cash
76,2022-01-01,1294,1,4,2,962.57,5.0,1925.14,1119.62,805.52,Digital Wallet
77,2022-01-01,1130,9,8,1,44.76,25.0,44.76,27.39,17.37,Debit Card
78,2022-01-01,305,12,5,1,69.06,15.0,69.06,33.76,35.3,Credit Card
79,2022-01-01,1027,17,1,1,282.03,0.0,282.03,168.46,113.57,Debit Card
80,2022-01-01,1737,26,3,5,23.57,5.0,117.85,64.6,53.25,Credit Card
81,2022-01-01,367,19,3,3,319.23,5.0,957.69,516.0,441.69,Debit Card
82,2022-01-01,991,12,4,1,73.12,10.0,73.12,33.76,39.37,Credit Card
83,2022-01-01,757,8,6,1,136.98,0.0,136.98,62.26,74.72,Credit Card
84,2022-01-01,1880,15,6,3,428.32,0.0,1284.96,720.06,564.9,Credit Card
85,2022-01-01,1984,17,5,2,282.03,0.0,564.06,336.92,227.14,Debit Card
86,2022-01-01,1755,13,2,1,455.9,5.0,455.9,256.1,199.8,Debit Card
87,2022-01-01,771,8,6,1,136.98,0.0,136.98,62.26,74.72,Debit Card
88,2022-01-01,988,20,8,1,295.92,15.0,295.92,176.76,119.16,Credit Card
89,2022-01-02,1054,21,3,1,289.21,0.0,289.21,131.47,157.74,Credit Card
90,2022-01-02,1470,27,6,1,20.68,0.0,20.68,12.28,8.4,Debit Card
91,2022-01-02,987,22,3,1,110.46,0.0,110.46,52.9,57.56,Debit Card
92,2022-01-02,842,1,3,1,1013.23,0.0,1013.23,559.81,453.42,Credit Card
93,2022-01-02,1050,2,3,3,521.29,0.0,1563.87,895.05,668.82,Credit Card
94,2022-01-02,369,17,1,4,267.93,5.0,1071.71,673.84,397.87,Cash
95,2022-01-02,1491,22,4,2,93.89,15.0,187.78,105.8,81.98,Credit Card
96,2022-01-02,966,16,3,1,368.42,10.0,368.42,234.55,133.87,Cash
97,2022-01-02,1681,25,5,1,33.66,5.0,33.66,19.01,14.65,Credit Card
98,2022-01-02,1405,11,2,3,156.8,5.0,470.39,232.62,237.77,Credit Card
99,2022-01-02,790,5,7,1,719.59,0.0,719.59,397.92,321.67,Cash
100,2022-01-02,1241,4,1,1,1151.27,15.0,1151.27,756.72,394.55,Cash
101,2022-01-02,1089,17,3,2,282.03,0.0,564.06,336.92,227.14,Digital Wallet
102,2022-01-02,1105,27,7,1,17.58,15.0,17.58,12.28,5.3,Debit Card
103,2022-01-02,759,2,8,2,521.29,0.0,1042.58,596.7,445.88,Cash
104,2022-01-02,781,12,2,1,73.12,10.0,73.12,33.76,39.37,Credit Card
105,2022-01-02,522,16,2,2,347.95,15.0,695.89,469.1,226.79,Credit Card
106,2022-01-02,1796,18,1,1,166.95,0.0,166.95,84.34,82.61,Debit Card
107,2022-01-02,242,17,6,1,267.93,5.0,267.93,168.46,99.47,Credit Card
108,2022-01-02,219,5,5,1,683.61,5.0,683.61,397.92,285.69,Cash
109,2022-01-02,868,19,7,1,336.03,0.0,336.03,172.0,164.03,Cash
110,2022-01-02,847,18,6,2,166.95,0.0,333.9,168.68,165.22,Debit Card
111,2022-01-02,991,9,7,5,56.7,5.0,283.48,136.95,146.53,Debit Card
112,2022-01-02,1752,4,3,2,1354.44,0.0,2708.88,1513.44,1195.44,Credit Card
113,2022-01-02,1042,13,1,2,431.9,10.0,863.8,512.2,351.6,Credit Card
114,2022-01-02,1976,21,3,1,289.21,0.0,289.21,131.47,157.74,Debit Card
115,2022-01-02,1230,14,6,1,73.59,0.0,73.59,37.51,36.08,Credit Card
116,2022-01-02,78,13,1,2,455.9,5.0,911.79,512.2,399.59,Digital Wallet
117,2022-01-02,1680,6,4,2,445.16,0.0,890.32,534.68,355.64,Cash
118,2022-01-02,1907,26,4,1,24.81,0.0,24.81,12.92,11.89,Debit Card
119,2022-01-02,1381,2,3,1,495.23,5.0,495.23,298.35,196.88,Credit Card
120,2022-01-02,566,25,7,1,33.66,5.0,33.66,19.01,14.65,Debit Card
121,2022-01-02,1061,1,2,2,1013.23,0.0,2026.46,1119.62,906.84,Debit Card
122,2022-01-02,1488,19,5,1,268.82,20.0,268.82,172.0,96.82,Credit Card
123,2022-01-02,1170,19,2,1,336.03,0.0,336.03,172.0,164.03,Debit Card
124,2022-01-02,352,26,5,1,24.81,0.0,24.81,12.92,11.89,Debit Card
125,2022-01-02,1979,13,6,1,431.9,10.0,431.9,256.1,175.8,Digital Wallet
126,2022-01-02,940,22,1,1,104.94,5.0,104.94,52.9,52.04,Debit Card
127,2022-01-02,529,3,4,1,1029.82,10.0,1029.82,706.76,323.06,Debit Card
128,2022-01-02,471,26,1,1,19.85,20.0,19.85,12.92,6.93,Debit Card
129,2022-01-02,540,8,6,1,136.98,0.0,136.98,62.26,74.72,Credit Card
130,2022-01-02,1908,6,5,1,445.16,0.0,445.16,267.34,177.82,Credit Card
131,2022-01-02,1529,22,4,3,110.46,0.0,331.38,158.7,172.68,Credit Card
132,2022-01-02,496,9,4,1,59.68,0.0,59.68,27.39,32.29,Cash
133,2022-01-02,730,5,2,2,719.59,0.0,1439.18,795.84,643.34,Debit Card
134,2022-01-02,48,25,8,3,28.34,20.0,85.03,57.03,28.0,Credit Card
135,2022-01-02,646,16,5,3,347.95,15.0,1043.84,703.65,340.19,Debit Card
136,2022-01-02,1566,9,3,1,53.71,10.0,53.71,27.39,26.32,Credit Card
137,2022-01-02,1637,14,6,1,69.91,5.0,69.91,37.51,32.4,Credit Card
138,2022-01-02,1406,25,8,1,28.34,20.0,28.34,19.01,9.33,Credit Card
139,2022-01-02,18,1,2,2,1013.23,0.0,2026.46,1119.62,906.84,Credit Card
140,2022-01-02,1255,9,5,1,59.68,0.0,59.68,27.39,32.29,Debit Card
141,2022-01-02,1256,11,4,1,165.05,0.0,165.05,77.54,87.51,Credit Card
142,2022-01-02,1541,12,8,1,81.25,0.0,81.25,33.76,47.49,Credit Card
143,2022-01-03,1180,22,5,1,110.46,0.0,110.46,52.9,57.56,Cash
144,2022-01-03,1138,14,3,3,73.59,0.0,220.77,112.53,108.24,Debit Card
145,2022-01-03,20,6,6,1,445.16,0.0,445.16,267.34,177.82,Cash
146,2022-01-03,615,9,7,1,56.7,5.0,56.7,27.39,29.31,Credit Card
147,2022-01-03,335,2,2,1,521.29,0.0,521.29,298.35,222.94,Credit Card
148,2022-01-03,686,9,5,1,56.7,5.0,56.7,27.39,29.31,Credit Card
149,2022-01-03,844,4,4,1,1286.72,5.0,1286.72,756.72,530.0,Debit Card
150,2022-01-03,1331,21,5,1,231.37,20.0,231.37,131.47,99.9,Credit Card
151,2022-01-03,1379,17,2,1,253.83,10.0,253.83,168.46,85.37,Credit Card
152,2022-01-03,587,15,3,2,428.32,0.0,856.64,480.04,376.6,Debit Card
153,2022-01-03,1902,11,7,1,156.8,5.0,156.8,77.54,79.26,Cash
154,2022-01-03,147,3,6,1,1144.24,0.0,1144.24,706.76,437.48,Debit Card
155,2022-01-03,1455,9,8,2,59.68,0.0,119.36,54.78,64.58,Cash
156,2022-01-03,1923,12,8,2,77.19,5.0,154.38,67.52,86.86,Credit Card
157,2022-01-03,377,5,2,2,683.61,5.0,1367.22,795.84,571.38,Credit Card
158,2022-01-03,814,4,8,1,1151.27,15.0,1151.27,756.72,394.55,Debit Card
159,2022-01-03,54,25,2,1,31.89,10.0,31.89,19.01,12.88,Credit Card
160,2022-01-03,1266,5,7,1,611.65,15.0,611.65,397.92,213.73,Credit Card
161,2022-01-03,507,24,3,1,13.34,5.0,13.34,7.41,5.93,Debit Card
162,2022-01-03,1771,12,8,3,81.25,0.0,243.75,101.28,142.47,Debit Card
163,2022-01-03,1784,18,3,3,158.6,5.0,475.81,253.02,222.79,Digital Wallet
164,2022-01-03,1429,18,7,1,158.6,5.0,158.6,84.34,74.26,Debit Card
165,2022-01-03,1310,18,4,1,166.95,0.0,166.95,84.34,82.61,Cash
166,2022-01-03,905,10,5,1,165.7,0.0,165.7,66.39,99.31,Credit Card
167,2022-01-03,1072,5,1,1,719.59,0.0,719.59,397.92,321.67,Debit Card
168,2022-01-03,1008,25,7,1,35.43,0.0,35.43,19.01,16.42,Cash
169,2022-01-03,1223,8,4,2,130.13,5.0,260.26,124.52,135.74,Credit Card
170,2022-01-03,1149,14,7,1,73.59,0.0,73.59,37.51,36.08,Cash
171,2022-01-03,452,9,5,1,56.7,5.0,56.7,27.39,29.31,Credit Card
172,2022-01-03,1522,18,2,2,166.95,0.0,333.9,168.68,165.22,Credit Card
173,2022-01-03,594,4,5,2,1286.72,5.0,2573.44,1513.44,1060.0,Debit Card
174,2022-01-03,1008,7,1,1,24.78,0.0,24.78,10.4,14.38,Credit Card
175,2022-01-03,210,10,1,1,149.13,10.0,149.13,66.39,82.74,Credit Card
176,2022-01-03,309,1,5,1,1013.23,0.0,1013.23,559.81,453.42,Cash
177,2022-01-03,1021,12,6,1,73.12,10.0,73.12,33.76,39.37,Credit Card
178,2022-01-03,1538,5,2,1,647.63,10.0,647.63,397.92,249.71,Debit Card
179,2022-01-03,372,7,7,3,24.78,0.0,74.34,31.2,43.14,Cash
180,2022-01-03,250,25,8,2,35.43,0.0,70.86,38.02,32.84,Credit Card
181,2022-01-03,69,7,4,1,22.3,10.0,22.3,10.4,11.9,Debit Card
182,2022-01-03,1396,10,1,3,165.7,0.0,497.1,199.17,297.93,Debit Card
183,2022-01-03,1126,17,5,1,282.03,0.0,282.03,168.46,113.57,Credit Card
184,2022-01-03,1818,2,2,3,521.29,0.0,1563.87,895.05,668.82,Credit Card
185,2022-01-03,890,11,2,1,148.55,10.0,148.55,77.54,71.01,Credit Card
186,2022-01-03,498,1,8,4,962.57,5.0,3850.27,2239.24,1611.03,Debit Card
187,2022-01-04,761,25,2,1,35.43,0.0,35.43,19.01,16.42,Debit Card
188,2022-01-04,694,25,3,2,35.43,0.0,70.86,38.02,32.84,Debit Card
189,2022-01-04,1467,8,6,1,130.13,5.0,130.13,62.26,67.87,Cash
190,2022-01-04,899,24,6,1,13.34,5.0,13.34,7.41,5.93,Debit Card
191,2022-01-04,514,2,5,1,521.29,0.0,521.29,298.35,222.94,Debit Card
192,2022-01-04,1004,7,6,1,23.54,5.0,23.54,10.4,13.14,Debit Card
193,2022-01-04,564,27,3,1,17.58,15.0,17.58,12.28,5.3,Credit Card
194,2022-01-04,318,15,6,1,428.32,0.0,428.32,240.02,188.3,Debit Card
195,2022-01-04,1103,24,6,1,14.04,0.0,14.04,7.41,6.63,Cash
196,2022-01-04,490,11,7,2,156.8,5.0,313.6,155.08,158.52,Credit Card
197,2022-01-04,1400,16,5,2,409.35,0.0,818.7,469.1,349.6,Credit Card
198,2022-01-04,1313,11,2,1,156.8,5.0,156.8,77.54,79.26,Credit Card
199,2022-01-04,1921,5,2,1,719.59,0.0,719.59,397.92,321.67,Debit Card
200,2022-01-04,203,2,8,1,469.16,10.0,469.16,298.35,170.81,Debit Card
201,2022-01-04,1437,19,2,1,336.03,0.0,336.03,172.0,164.03,Credit Card
202,2022-01-04,1887,7,2,2,21.06,15.0,42.13,20.8,21.33,Debit Card
203,2022-01-04,1309,2,7,1,469.16,10.0,469.16,298.35,170.81,Cash
204,2022-01-04,1627,23,1,1,12.53,5.0,12.53,6.9,5.63,Debit Card
205,2022-01-04,1709,10,2,1,165.7,0.0,165.7,66.39,99.31,Credit Card
206,2022-01-04,474,18,4,1,166.95,0.0,166.95,84.34,82.61,Debit Card
207,2022-01-04,1941,6,2,1,422.9,5.0,422.9,267.34,155.56,Cash
208,2022-01-04,1181,12,7,2,73.12,10.0,146.25,67.52,78.73,Cash
209,2022-01-04,342,26,6,1,24.81,0.0,24.81,12.92,11.89,Debit Card
210,2022-01-04,1094,20,6,1,348.14,0.0,348.14,176.76,171.38,Debit Card
211,2022-01-04,665,12,6,1,77.19,5.0,77.19,33.76,43.43,Debit Card
212,2022-01-04,1154,18,5,1,150.25,10.0,150.25,84.34,65.91,Credit Card
213,2022-01-04,1165,1,1,2,810.58,20.0,1621.17,1119.62,501.55,Debit Card
214,2022-01-04,1824,10,4,1,132.56,20.0,132.56,66.39,66.17,Cash
215,2022-01-04,45,25,5,2,33.66,5.0,67.32,38.02,29.3,Digital Wallet
216,2022-01-04,1048,18,2,1,158.6,5.0,158.6,84.34,74.26,Credit Card
217,2022-01-04,724,12,5,3,81.25,0.0,243.75,101.28,142.47,Cash
218,2022-01-04,189,19,2,1,285.63,15.0,285.63,172.0,113.63,Debit Card
219,2022-01-04,1624,16,2,1,368.42,10.0,368.42,234.55,133.87,Debit Card
220,2022-01-04,1606,13,6,1,479.89,0.0,479.89,256.1,223.79,Credit Card
221,2022-01-04,1674,14,4,1,62.55,15.0,62.55,37.51,25.04,Debit Card
222,2022-01-04,1740,20,7,3,330.73,5.0,992.2,530.28,461.92,Credit Card
223,2022-01-04,1535,19,4,1,319.23,5.0,319.23,172.0,147.23,Credit Card
224,2022-01-04,1380,24,2,5,11.23,20.0,56.16,37.05,19.11,Credit Card
225,2022-01-04,594,26,2,1,24.81,0.0,24.81,12.92,11.89,Debit Card
226,2022-01-04,1168,9,3,1,56.7,5.0,56.7,27.39,29.31,Cash
227,2022-01-04,985,18,4,1,166.95,0.0,166.95,84.34,82.61,Debit Card
228,2022-01-04,691,3,2,1,1144.24,0.0,1144.24,706.76,437.48,Credit Card
229,2022-01-04,848,14,6,1,73.59,0.0,73.59,37.51,36.08,Debit Card
230,2022-01-04,50,25,8,1,28.34,20.0,28.34,19.01,9.33,Debit Card
231,2022-01-05,92,27,3,1,19.65,5.0,19.65,12.28,7.37,Cash
232,2022-01-05,1747,3,3,1,1144.24,0.0,1144.24,706.76,437.48,Cash
233,2022-01-05,1680,10,2,1,157.41,5.0,157.41,66.39,91.02,Credit Card
234,2022-01-05,965,1,4,1,911.91,10.0,911.91,559.81,352.1,Credit Card
235,2022-01-05,1072,18,3,1,150.25,10.0,150.25,84.34,65.91,Debit Card
236,2022-01-05,1369,1,1,1,861.25,15.0,861.25,559.81,301.44,Credit Card
237,2022-01-05,124,10,5,1,157.41,5.0,157.41,66.39,91.02,Credit Card
238,2022-01-05,1341,1,6,1,962.57,5.0,962.57,559.81,402.76,Cash
239,2022-01-05,40,10,4,3,157.41,5.0,472.25,199.17,273.07,Digital Wallet
240,2022-01-05,1042,23,2,1,13.19,0.0,13.19,6.9,6.29,Credit Card
241,2022-01-05,1026,15,1,1,385.49,10.0,385.49,240.02,145.47,Credit Card
242,2022-01-05,1085,10,3,1,165.7,0.0,165.7,66.39,99.31,Credit Card
243,2022-01-05,1402,12,5,1,81.25,0.0,81.25,33.76,47.49,Cash
244,2022-01-05,1282,9,1,3,50.73,15.0,152.18,82.17,70.01,Digital Wallet
245,2022-01-05,1944,9,7,1,59.68,0.0,59.68,27.39,32.29,Debit Card
246,2022-01-05,180,24,4,1,11.23,20.0,11.23,7.41,3.82,Credit Card
247,2022-01-05,1174,5,6,1,719.59,0.0,719.59,397.92,321.67,Credit Card
248,2022-01-05,270,7,4,2,23.54,5.0,47.08,20.8,26.28,Cash
249,2022-01-05,633,23,3,2,12.53,5.0,25.06,13.8,11.26,Credit Card
250,2022-01-05,1862,25,3,1,30.12,15.0,30.12,19.01,11.11,Credit Card
251,2022-01-05,1142,18,6,3,166.95,0.0,500.85,253.02,247.83,Cash
252,2022-01-05,299,24,7,1,14.04,0.0,14.04,7.41,6.63,Digital Wallet
253,2022-01-05,622,15,5,2,385.49,10.0,770.98,480.04,290.94,Credit Card
254,2022-01-05,562,1,5,2,962.57,5.0,1925.14,1119.62,805.52,Debit Card
255,2022-01-05,1255,8,1,1,136.98,0.0,136.98,62.26,74.72,Credit Card
256,2022-01-05,1410,25,8,1,33.66,5.0,33.66,19.01,14.65,Debit Card
257,2022-01-05,766,6,3,3,445.16,0.0,1335.48,802.02,533.46,Credit Card
258,2022-01-05,464,2,5,1,417.03,20.0,417.03,298.35,118.68,Digital Wallet
259,2022-01-05,456,7,8,2,24.78,0.0,49.56,20.8,28.76,Cash
260,2022-01-05,1004,23,4,1,13.19,0.0,13.19,6.9,6.29,Credit Card
261,2022-01-05,1981,27,1,1,20.68,0.0,20.68,12.28,8.4,Debit Card
262,2022-01-05,925,15,4,2,428.32,0.0,856.64,480.04,376.6,Debit Card
263,2022-01-05,811,24,1,1,14.04,0.0,14.04,7.41,6.63,Credit Card
264,2022-01-05,901,13,5,3,431.9,10.0,1295.7,768.3,527.4,Debit Card
265,2022-01-05,866,10,3,2,165.7,0.0,331.4,132.78,198.62,Debit Card
266,2022-01-05,1324,15,3,1,406.9,5.0,406.9,240.02,166.88,Cash
267,2022-01-05,1921,23,6,1,13.19,0.0,13.19,6.9,6.29,Debit Card
268,2022-01-05,367,15,4,1,385.49,10.0,385.49,240.02,145.47,Cash
269,2022-01-05,185,9,3,1,56.7,5.0,56.7,27.39,29.31,Debit Card
270,2022-01-05,254,3,6,1,1144.24,0.0,1144.24,706.76,437.48,Credit Card
271,2022-01-05,1449,13,3,2,383.91,20.0,767.82,512.2,255.62,Credit Card
272,2022-01-05,780,2,3,2,443.1,15.0,886.19,596.7,289.49,Credit Card
273,2022-01-05,297,6,5,2,445.16,0.0,890.32,534.68,355.64,Credit Card
274,2022-01-05,1575,15,3,1,428.32,0.0,428.32,240.02,188.3,Digital Wallet
275,2022-01-05,8,20,8,2,348.14,0.0,696.28,353.52,342.76,Cash
276,2022-01-05,1114,26,4,1,21.09,15.0,21.09,12.92,8.17,Credit Card
277,2022-01-05,1351,16,1,1,409.35,0.0,409.35,234.55,174.8,Credit Card
278,2022-01-05,1121,9,4,2,56.7,5.0,113.39,54.78,58.61,Credit Card
279,2022-01-05,304,2,1,2,521.29,0.0,1042.58,596.7,445.88,Debit Card
280,2022-01-05,1717,20,1,1,295.92,15.0,295.92,176.76,119.16,Credit Card
281,2022-01-05,366,6,3,2,422.9,5.0,845.8,534.68,311.12,Digital Wallet
282,2022-01-05,100,3,7,2,1144.24,0.0,2288.48,1413.52,874.96,Cash
283,2022-01-05,1554,14,8,2,73.59,0.0,147.18,75.02,72.16,Credit Card
284,2022-01-05,1423,9,4,1,59.68,0.0,59.68,27.39,32.29,Debit Card
285,2022-01-06,120,4,2,1,1083.55,20.0,1083.55,756.72,326.83,Debit Card
286,2022-01-06,1411,20,5,3,278.51,20.0,835.54,530.28,305.26,Credit Card
287,2022-01-06,1737,11,6,1,156.8,5.0,156.8,77.54,79.26,Digital Wallet
288,2022-01-06,1259,19,8,1,302.43,10.0,302.43,172.0,130.43,Debit Card
289,2022-01-06,369,20,4,1,348.14,0.0,348.14,176.76,171.38,Credit Card
290,2022-01-06,50,15,4,2,428.32,0.0,856.64,480.04,376.6,Cash
291,2022-01-06,850,14,4,1,73.59,0.0,73.59,37.51,36.08,Credit Card
292,2022-01-06,413,23,5,1,11.87,10.0,11.87,6.9,4.97,Credit Card
293,2022-01-06,1127,11,6,2,165.05,0.0,330.1,155.08,175.02,Credit Card
294,2022-01-06,1484,19,3,2,336.03,0.0,672.06,344.0,328.06,Credit Card
295,2022-01-06,1708,11,8,3,165.05,0.0,495.15,232.62,262.53,Cash
296,2022-01-06,1323,5,6,1,683.61,5.0,683.61,397.92,285.69,Debit Card
297,2022-01-06,1668,14,5,3,73.59,0.0,220.77,112.53,108.24,Debit Card
298,2022-01-06,1389,11,6,1,165.05,0.0,165.05,77.54,87.51,Cash
299,2022-01-06,1819,3,1,4,1144.24,0.0,4576.96,2827.04,1749.92,Credit Card
300,2022-01-06,769,21,7,1,289.21,0.0,289.21,131.47,157.74,Credit Card
301,2022-01-06,240,25,1,1,30.12,15.0,30.12,19.01,11.11,Credit Card
302,2022-01-06,178,16,5,3,409.35,0.0,1228.05,703.65,524.4,Credit Card
303,2022-01-06,620,6,4,1,400.64,10.0,400.64,267.34,133.3,Digital Wallet
304,2022-01-06,909,17,3,1,282.03,0.0,282.03,168.46,113.57,Credit Card
305,2022-01-06,1892,16,6,2,388.88,5.0,777.76,469.1,308.66,Credit Card
306,2022-01-06,1786,4,3,2,1151.27,15.0,2302.55,1513.44,789.11,Credit Card
307,2022-01-06,75,15,2,1,364.07,15.0,364.07,240.02,124.05,Credit Card
308,2022-01-06,1910,2,2,2,495.23,5.0,990.45,596.7,393.75,Credit Card
309,2022-01-06,1822,2,5,1,469.16,10.0,469.16,298.35,170.81,Credit Card
310,2022-01-06,1554,10,4,2,165.7,0.0,331.4,132.78,198.62,Credit Card
311,2022-01-06,567,18,2,1,166.95,0.0,166.95,84.34,82.61,Credit Card
312,2022-01-06,323,9,2,1,47.74,20.0,47.74,27.39,20.35,Credit Card
313,2022-01-06,718,18,5,1,166.95,0.0,166.95,84.34,82.61,Debit Card
314,2022-01-06,351,3,8,1,972.6,15.0,972.6,706.76,265.84,Credit Card
315,2022-01-06,60,16,7,3,409.35,0.0,1228.05,703.65,524.4,Credit Card
316,2022-01-06,874,13,8,1,455.9,5.0,455.9,256.1,199.8,Debit Card
317,2022-01-06,640,11,2,2,148.55,10.0,297.09,155.08,142.01,Digital Wallet
318,2022-01-06,1548,25,8,1,35.43,0.0,35.43,19.01,16.42,Credit Card
